date,veg_name,whole_price,retail_price,shoping_mall_price,unit
2024-05-09,Onion Small,36,41 - 46,43 - 59,1kg
2024-05-09,Tomato,25,29 - 32,30 - 41,1kg
2024-05-09,Green Chilli,45,52 - 57,54 - 74,1kg
2024-05-09,Beetroot,37,43 - 47,44 - 61,1kg
2024-05-09,Potato,29,33 - 37,35 - 48,1kg
2024-05-09,Raw Banana (Plantain),7,8 - 9,8 - 12,1kg
2024-05-09,Amaranth Leaves,13,15 - 17,16 - 21,1kg
2024-05-09,Amla,60,69 - 76,72 - 99,1kg
2024-05-09,Ash gourd,21,24 - 27,25 - 35,1kg
2024-05-09,Baby Corn,60,69 - 76,72 - 99,1kg
2024-05-09,Banana Flower,19,22 - 24,23 - 31,1kg
2024-05-09,Capsicum,50,58 - 64,60 - 83,1kg
2024-05-09,Bitter Gourd,33,38 - 42,40 - 54,1kg
2024-05-09,Bottle Gourd,25,29 - 32,30 - 41,1kg
2024-05-09,Butter Beans,46,53 - 58,55 - 76,1kg
2024-05-09,Broad Beans,29,33 - 37,35 - 48,1kg
2024-05-09,Cabbage,21,24 - 27,25 - 35,1kg
2024-05-09,Carrot,44,51 - 56,53 - 73,1kg
2024-05-09,Cauliflower,24,28 - 30,29 - 40,1kg
2024-05-09,Cluster beans,44,51 - 56,53 - 73,1kg
2024-05-09,Coconut,36,41 - 46,43 - 59,1kg
2024-05-09,Colocasia Leaves,12,14 - 15,14 - 20,1kg
2024-05-09,Colocasia,28,32 - 36,34 - 46,1kg
2024-05-09,Coriander Leaves,9,10 - 11,11 - 15,1kg
2024-05-09,Corn,27,31 - 34,32 - 45,1kg
2024-05-09,Cucumber,25,29 - 32,30 - 41,1kg
2024-05-09,Curry Leaves,30,35 - 38,36 - 50,1kg
2024-05-09,Dill Leaves,13,15 - 17,16 - 21,1kg
2024-05-09,Drumsticks,40,46 - 51,48 - 66,1kg
2024-05-09,Brinjal,26,30 - 33,31 - 43,1kg
2024-05-09,Brinjal (Big),25,29 - 32,30 - 41,1kg
2024-05-09,Elephant Yam,25,29 - 32,30 - 41,1kg
2024-05-09,Fenugreek Leaves,11,13 - 14,13 - 18,1kg
2024-05-09,French Beans,49,56 - 62,59 - 81,1kg
2024-05-09,Garlic,170,196 - 216,204 - 281,1kg
2024-05-09,Ginger,104,120 - 132,125 - 172,1kg
2024-05-09,Onion Green,44,51 - 56,53 - 73,1kg
2024-05-09,Green Peas,46,53 - 58,55 - 76,1kg
2024-05-09,Ivy Gourd,23,26 - 29,28 - 38,1kg
2024-05-09,Lemon (Lime),73,84 - 93,88 - 120,1kg
2024-05-09,Mango Raw,32,37 - 41,38 - 53,1kg
2024-05-09,Mint Leaves,4,5 - 5,5 - 7,1kg
2024-05-09,Mushroom,84,97 - 107,101 - 139,1kg
2024-05-09,Mustard Leaves,14,16 - 18,17 - 23,1kg
2024-05-09,Ladies Finger,41,47 - 52,49 - 68,1kg
2024-05-09,Pumpkin,23,26 - 29,28 - 38,1kg
2024-05-09,Radish,26,30 - 33,31 - 43,1kg
2024-05-09,Ridge Gourd,30,35 - 38,36 - 50,1kg
2024-05-09,Shallot (Pearl Onion),33,38 - 42,40 - 54,1kg
2024-05-09,Snake Gourd,27,31 - 34,32 - 45,1kg
2024-05-09,Sorrel Leaves,13,15 - 17,16 - 21,1kg
2024-05-09,Spinach,14,16 - 18,17 - 23,1kg
2024-05-09,Sweet Potato,37,43 - 47,44 - 61,1kg
2024-05-10,Onion Big,24,28 - 30,29 - 40,1kg
2024-05-10,Onion Small,36,41 - 46,43 - 59,1kg
2024-05-10,Tomato,25,29 - 32,30 - 41,1kg
2024-05-10,Green Chilli,45,52 - 57,54 - 74,1kg
2024-05-10,Beetroot,37,43 - 47,44 - 61,1kg
2024-05-10,Potato,29,33 - 37,35 - 48,1kg
2024-05-10,Raw Banana (Plantain),7,8 - 9,8 - 12,1kg
2024-05-10,Amaranth Leaves,13,15 - 17,16 - 21,1kg
2024-05-10,Amla,60,69 - 76,72 - 99,1kg
2024-05-10,Ash gourd,21,24 - 27,25 - 35,1kg
2024-05-10,Baby Corn,60,69 - 76,72 - 99,1kg
2024-05-10,Banana Flower,19,22 - 24,23 - 31,1kg
2024-05-10,Capsicum,50,58 - 64,60 - 83,1kg
2024-05-10,Bitter Gourd,33,38 - 42,40 - 54,1kg
2024-05-10,Bottle Gourd,25,29 - 32,30 - 41,1kg
2024-05-10,Butter Beans,46,53 - 58,55 - 76,1kg
2024-05-10,Broad Beans,29,33 - 37,35 - 48,1kg
2024-05-10,Cabbage,21,24 - 27,25 - 35,1kg
2024-05-10,Carrot,44,51 - 56,53 - 73,1kg
2024-05-10,Cauliflower,24,28 - 30,29 - 40,1kg
2024-05-10,Cluster beans,44,51 - 56,53 - 73,1kg
2024-05-10,Coconut,36,41 - 46,43 - 59,1kg
2024-05-10,Colocasia Leaves,12,14 - 15,14 - 20,1kg
2024-05-10,Colocasia,28,32 - 36,34 - 46,1kg
2024-05-10,Coriander Leaves,9,10 - 11,11 - 15,1kg
2024-05-10,Corn,27,31 - 34,32 - 45,1kg
2024-05-10,Cucumber,25,29 - 32,30 - 41,1kg
2024-05-10,Curry Leaves,30,35 - 38,36 - 50,1kg
2024-05-10,Dill Leaves,13,15 - 17,16 - 21,1kg
2024-05-10,Drumsticks,40,46 - 51,48 - 66,1kg
2024-05-10,Brinjal,26,30 - 33,31 - 43,1kg
2024-05-10,Brinjal (Big),25,29 - 32,30 - 41,1kg
2024-05-10,Elephant Yam,25,29 - 32,30 - 41,1kg
2024-05-10,Fenugreek Leaves,11,13 - 14,13 - 18,1kg
2024-05-10,French Beans,49,56 - 62,59 - 81,1kg
2024-05-10,Garlic,170,196 - 216,204 - 281,1kg
2024-05-10,Ginger,104,120 - 132,125 - 172,1kg
2024-05-10,Onion Green,44,51 - 56,53 - 73,1kg
2024-05-10,Green Peas,46,53 - 58,55 - 76,1kg
2024-05-10,Ivy Gourd,23,26 - 29,28 - 38,1kg
2024-05-10,Lemon (Lime),73,84 - 93,88 - 120,1kg
2024-05-10,Mango Raw,32,37 - 41,38 - 53,1kg
2024-05-10,Mint Leaves,4,5 - 5,5 - 7,1kg
2024-05-10,Mushroom,84,97 - 107,101 - 139,1kg
2024-05-10,Mustard Leaves,14,16 - 18,17 - 23,1kg
2024-05-10,Ladies Finger,41,47 - 52,49 - 68,1kg
2024-05-10,Pumpkin,23,26 - 29,28 - 38,1kg
2024-05-10,Radish,26,30 - 33,31 - 43,1kg
2024-05-10,Ridge Gourd,30,35 - 38,36 - 50,1kg
2024-05-10,Shallot (Pearl Onion),33,38 - 42,40 - 54,1kg
2024-05-10,Snake Gourd,27,31 - 34,32 - 45,1kg
2024-05-10,Sorrel Leaves,13,15 - 17,16 - 21,1kg
2024-05-10,Spinach,14,16 - 18,17 - 23,1kg
2024-05-10,Sweet Potato,37,43 - 47,44 - 61,1kg
2024-05-11,Onion Big,24,28 - 30,29 - 40,1kg
2024-05-11,Onion Small,36,41 - 46,43 - 59,1kg
2024-05-11,Tomato,25,29 - 32,30 - 41,1kg
2024-05-11,Green Chilli,45,52 - 57,54 - 74,1kg
2024-05-11,Beetroot,37,43 - 47,44 - 61,1kg
2024-05-11,Potato,29,33 - 37,35 - 48,1kg
2024-05-11,Raw Banana (Plantain),7,8 - 9,8 - 12,1kg
2024-05-11,Amaranth Leaves,13,15 - 17,16 - 21,1kg
2024-05-11,Amla,60,69 - 76,72 - 99,1kg
2024-05-11,Ash gourd,21,24 - 27,25 - 35,1kg
2024-05-11,Baby Corn,60,69 - 76,72 - 99,1kg
2024-05-11,Banana Flower,19,22 - 24,23 - 31,1kg
2024-05-11,Capsicum,50,58 - 64,60 - 83,1kg
2024-05-11,Bitter Gourd,33,38 - 42,40 - 54,1kg
2024-05-11,Bottle Gourd,25,29 - 32,30 - 41,1kg
2024-05-11,Butter Beans,46,53 - 58,55 - 76,1kg
2024-05-11,Broad Beans,29,33 - 37,35 - 48,1kg
2024-05-11,Cabbage,21,24 - 27,25 - 35,1kg
2024-05-11,Carrot,44,51 - 56,53 - 73,1kg
2024-05-11,Cauliflower,24,28 - 30,29 - 40,1kg
2024-05-11,Cluster beans,44,51 - 56,53 - 73,1kg
2024-05-11,Coconut,36,41 - 46,43 - 59,1kg
2024-05-11,Colocasia Leaves,12,14 - 15,14 - 20,1kg
2024-05-11,Colocasia,28,32 - 36,34 - 46,1kg
2024-05-11,Coriander Leaves,9,10 - 11,11 - 15,1kg
2024-05-11,Corn,27,31 - 34,32 - 45,1kg
2024-05-11,Cucumber,25,29 - 32,30 - 41,1kg
2024-05-11,Curry Leaves,30,35 - 38,36 - 50,1kg
2024-05-11,Dill Leaves,13,15 - 17,16 - 21,1kg
2024-05-11,Drumsticks,40,46 - 51,48 - 66,1kg
2024-05-11,Brinjal,26,30 - 33,31 - 43,1kg
2024-05-11,Brinjal (Big),25,29 - 32,30 - 41,1kg
2024-05-11,Elephant Yam,25,29 - 32,30 - 41,1kg
2024-05-11,Fenugreek Leaves,11,13 - 14,13 - 18,1kg
2024-05-11,French Beans,49,56 - 62,59 - 81,1kg
2024-05-11,Garlic,170,196 - 216,204 - 281,1kg
2024-05-11,Ginger,104,120 - 132,125 - 172,1kg
2024-05-11,Onion Green,44,51 - 56,53 - 73,1kg
2024-05-11,Green Peas,46,53 - 58,55 - 76,1kg
2024-05-11,Ivy Gourd,23,26 - 29,28 - 38,1kg
2024-05-11,Lemon (Lime),73,84 - 93,88 - 120,1kg
2024-05-11,Mango Raw,32,37 - 41,38 - 53,1kg
2024-05-11,Mint Leaves,4,5 - 5,5 - 7,1kg
2024-05-11,Mushroom,84,97 - 107,101 - 139,1kg
2024-05-11,Mustard Leaves,14,16 - 18,17 - 23,1kg
2024-05-11,Ladies Finger,41,47 - 52,49 - 68,1kg
2024-05-11,Pumpkin,23,26 - 29,28 - 38,1kg
2024-05-11,Radish,26,30 - 33,31 - 43,1kg
2024-05-11,Ridge Gourd,30,35 - 38,36 - 50,1kg
2024-05-11,Shallot (Pearl Onion),33,38 - 42,40 - 54,1kg
2024-05-11,Snake Gourd,27,31 - 34,32 - 45,1kg
2024-05-11,Sorrel Leaves,13,15 - 17,16 - 21,1kg
2024-05-11,Spinach,14,16 - 18,17 - 23,1kg
2024-05-11,Sweet Potato,37,43 - 47,44 - 61,1kg
2024-05-12,Onion Big,26,30 - 33,31 - 43,1kg
2024-05-12,Onion Small,37,43 - 47,44 - 61,1kg
2024-05-12,Tomato,25,29 - 32,30 - 41,1kg
2024-05-12,Green Chilli,42,48 - 53,50 - 69,1kg
2024-05-12,Beetroot,36,41 - 46,43 - 59,1kg
2024-05-12,Potato,30,35 - 38,36 - 50,1kg
2024-05-12,Raw Banana (Plantain),9,10 - 11,11 - 15,1kg
2024-05-12,Amaranth Leaves,10,12 - 13,12 - 17,1kg
2024-05-12,Amla,60,69 - 76,72 - 99,1kg
2024-05-12,Ash gourd,22,25 - 28,26 - 36,1kg
2024-05-12,Baby Corn,47,54 - 60,56 - 78,1kg
2024-05-12,Banana Flower,17,20 - 22,20 - 28,1kg
2024-05-12,Capsicum,43,49 - 55,52 - 71,1kg
2024-05-12,Bitter Gourd,31,36 - 39,37 - 51,1kg
2024-05-12,Bottle Gourd,24,28 - 30,29 - 40,1kg
2024-05-12,Butter Beans,47,54 - 60,56 - 78,1kg
2024-05-12,Broad Beans,35,40 - 44,42 - 58,1kg
2024-05-12,Cabbage,19,22 - 24,23 - 31,1kg
2024-05-12,Carrot,43,49 - 55,52 - 71,1kg
2024-05-12,Cauliflower,24,28 - 30,29 - 40,1kg
2024-05-12,Cluster beans,42,48 - 53,50 - 69,1kg
2024-05-12,Coconut,33,38 - 42,40 - 54,1kg
2024-05-12,Colocasia Leaves,13,15 - 17,16 - 21,1kg
2024-05-12,Colocasia,30,35 - 38,36 - 50,1kg
2024-05-12,Coriander Leaves,10,12 - 13,12 - 17,1kg
2024-05-12,Corn,26,30 - 33,31 - 43,1kg
2024-05-12,Cucumber,24,28 - 30,29 - 40,1kg
2024-05-12,Curry Leaves,26,30 - 33,31 - 43,1kg
2024-05-12,Dill Leaves,15,17 - 19,18 - 25,1kg
2024-05-12,Drumsticks,50,58 - 64,60 - 83,1kg
2024-05-12,Brinjal,23,26 - 29,28 - 38,1kg
2024-05-12,Brinjal (Big),20,23 - 25,24 - 33,1kg
2024-05-12,Elephant Yam,27,31 - 34,32 - 45,1kg
2024-05-12,Fenugreek Leaves,11,13 - 14,13 - 18,1kg
2024-05-12,French Beans,52,60 - 66,62 - 86,1kg
2024-05-12,Garlic,161,185 - 204,193 - 266,1kg
2024-05-12,Ginger,101,116 - 128,121 - 167,1kg
2024-05-12,Onion Green,45,52 - 57,54 - 74,1kg
2024-05-12,Green Peas,45,52 - 57,54 - 74,1kg
2024-05-12,Ivy Gourd,28,32 - 36,34 - 46,1kg
2024-05-12,Lemon (Lime),74,85 - 94,89 - 122,1kg
2024-05-12,Mango Raw,24,28 - 30,29 - 40,1kg
2024-05-12,Mint Leaves,5,6 - 6,6 - 8,1kg
2024-05-12,Mushroom,89,102 - 113,107 - 147,1kg
2024-05-12,Mustard Leaves,18,21 - 23,22 - 30,1kg
2024-05-12,Ladies Finger,40,46 - 51,48 - 66,1kg
2024-05-12,Pumpkin,22,25 - 28,26 - 36,1kg
2024-05-12,Radish,24,28 - 30,29 - 40,1kg
2024-05-12,Ridge Gourd,33,38 - 42,40 - 54,1kg
2024-05-12,Shallot (Pearl Onion),35,40 - 44,42 - 58,1kg
2024-05-12,Snake Gourd,28,32 - 36,34 - 46,1kg
2024-05-12,Sorrel Leaves,14,16 - 18,17 - 23,1kg
2024-05-12,Spinach,17,20 - 22,20 - 28,1kg
2024-05-12,Sweet Potato,36,41 - 46,43 - 59,1kg
2024-05-13,Onion Big,26,30 - 33,31 - 43,1kg
2024-05-13,Onion Small,37,43 - 47,44 - 61,1kg
2024-05-13,Tomato,25,29 - 32,30 - 41,1kg
2024-05-13,Green Chilli,42,48 - 53,50 - 69,1kg
2024-05-13,Beetroot,36,41 - 46,43 - 59,1kg
2024-05-13,Potato,30,35 - 38,36 - 50,1kg
2024-05-13,Raw Banana (Plantain),9,10 - 11,11 - 15,1kg
2024-05-13,Amaranth Leaves,10,12 - 13,12 - 17,1kg
2024-05-13,Amla,60,69 - 76,72 - 99,1kg
2024-05-13,Ash gourd,22,25 - 28,26 - 36,1kg
2024-05-13,Baby Corn,47,54 - 60,56 - 78,1kg
2024-05-13,Banana Flower,17,20 - 22,20 - 28,1kg
2024-05-13,Capsicum,43,49 - 55,52 - 71,1kg
2024-05-13,Bitter Gourd,31,36 - 39,37 - 51,1kg
2024-05-13,Bottle Gourd,24,28 - 30,29 - 40,1kg
2024-05-13,Butter Beans,47,54 - 60,56 - 78,1kg
2024-05-13,Broad Beans,35,40 - 44,42 - 58,1kg
2024-05-13,Cabbage,19,22 - 24,23 - 31,1kg
2024-05-13,Carrot,43,49 - 55,52 - 71,1kg
2024-05-13,Cauliflower,24,28 - 30,29 - 40,1kg
2024-05-13,Cluster beans,42,48 - 53,50 - 69,1kg
2024-05-13,Coconut,33,38 - 42,40 - 54,1kg
2024-05-13,Colocasia Leaves,13,15 - 17,16 - 21,1kg
2024-05-13,Colocasia,30,35 - 38,36 - 50,1kg
2024-05-13,Coriander Leaves,10,12 - 13,12 - 17,1kg
2024-05-13,Corn,26,30 - 33,31 - 43,1kg
2024-05-13,Cucumber,24,28 - 30,29 - 40,1kg
2024-05-13,Curry Leaves,26,30 - 33,31 - 43,1kg
2024-05-13,Dill Leaves,15,17 - 19,18 - 25,1kg
2024-05-13,Drumsticks,50,58 - 64,60 - 83,1kg
2024-05-13,Brinjal,23,26 - 29,28 - 38,1kg
2024-05-13,Brinjal (Big),20,23 - 25,24 - 33,1kg
2024-05-13,Elephant Yam,27,31 - 34,32 - 45,1kg
2024-05-13,Fenugreek Leaves,11,13 - 14,13 - 18,1kg
2024-05-13,French Beans,52,60 - 66,62 - 86,1kg
2024-05-13,Garlic,161,185 - 204,193 - 266,1kg
2024-05-13,Ginger,101,116 - 128,121 - 167,1kg
2024-05-13,Onion Green,45,52 - 57,54 - 74,1kg
2024-05-13,Green Peas,45,52 - 57,54 - 74,1kg
2024-05-13,Ivy Gourd,28,32 - 36,34 - 46,1kg
2024-05-13,Lemon (Lime),74,85 - 94,89 - 122,1kg
2024-05-13,Mango Raw,24,28 - 30,29 - 40,1kg
2024-05-13,Mint Leaves,5,6 - 6,6 - 8,1kg
2024-05-13,Mushroom,89,102 - 113,107 - 147,1kg
2024-05-13,Mustard Leaves,18,21 - 23,22 - 30,1kg
2024-05-13,Ladies Finger,40,46 - 51,48 - 66,1kg
2024-05-13,Pumpkin,22,25 - 28,26 - 36,1kg
2024-05-13,Radish,24,28 - 30,29 - 40,1kg
2024-05-13,Ridge Gourd,33,38 - 42,40 - 54,1kg
2024-05-13,Shallot (Pearl Onion),35,40 - 44,42 - 58,1kg
2024-05-13,Snake Gourd,28,32 - 36,34 - 46,1kg
2024-05-13,Sorrel Leaves,14,16 - 18,17 - 23,1kg
2024-05-13,Spinach,17,20 - 22,20 - 28,1kg
2024-05-13,Sweet Potato,36,41 - 46,43 - 59,1kg
2024-05-14,Onion Big,26,30 - 33,31 - 43,1kg
2024-05-14,Onion Small,37,43 - 47,44 - 61,1kg
2024-05-14,Tomato,25,29 - 32,30 - 41,1kg
2024-05-14,Green Chilli,42,48 - 53,50 - 69,1kg
2024-05-14,Beetroot,36,41 - 46,43 - 59,1kg
2024-05-14,Potato,30,35 - 38,36 - 50,1kg
2024-05-14,Raw Banana (Plantain),9,10 - 11,11 - 15,1kg
2024-05-14,Amaranth Leaves,10,12 - 13,12 - 17,1kg
2024-05-14,Amla,60,69 - 76,72 - 99,1kg
2024-05-14,Ash gourd,22,25 - 28,26 - 36,1kg
2024-05-14,Baby Corn,47,54 - 60,56 - 78,1kg
2024-05-14,Banana Flower,17,20 - 22,20 - 28,1kg
2024-05-14,Capsicum,43,49 - 55,52 - 71,1kg
2024-05-14,Bitter Gourd,31,36 - 39,37 - 51,1kg
2024-05-14,Bottle Gourd,24,28 - 30,29 - 40,1kg
2024-05-14,Butter Beans,47,54 - 60,56 - 78,1kg
2024-05-14,Broad Beans,35,40 - 44,42 - 58,1kg
2024-05-14,Cabbage,19,22 - 24,23 - 31,1kg
2024-05-14,Carrot,43,49 - 55,52 - 71,1kg
2024-05-14,Cauliflower,24,28 - 30,29 - 40,1kg
2024-05-14,Cluster beans,42,48 - 53,50 - 69,1kg
2024-05-14,Coconut,33,38 - 42,40 - 54,1kg
2024-05-14,Colocasia Leaves,13,15 - 17,16 - 21,1kg
2024-05-14,Colocasia,30,35 - 38,36 - 50,1kg
2024-05-14,Coriander Leaves,10,12 - 13,12 - 17,1kg
2024-05-14,Corn,26,30 - 33,31 - 43,1kg
2024-05-14,Cucumber,24,28 - 30,29 - 40,1kg
2024-05-14,Curry Leaves,26,30 - 33,31 - 43,1kg
2024-05-14,Dill Leaves,15,17 - 19,18 - 25,1kg
2024-05-14,Drumsticks,50,58 - 64,60 - 83,1kg
2024-05-14,Brinjal,23,26 - 29,28 - 38,1kg
2024-05-14,Brinjal (Big),20,23 - 25,24 - 33,1kg
2024-05-14,Elephant Yam,27,31 - 34,32 - 45,1kg
2024-05-14,Fenugreek Leaves,11,13 - 14,13 - 18,1kg
2024-05-14,French Beans,52,60 - 66,62 - 86,1kg
2024-05-14,Garlic,161,185 - 204,193 - 266,1kg
2024-05-14,Ginger,101,116 - 128,121 - 167,1kg
2024-05-14,Onion Green,45,52 - 57,54 - 74,1kg
2024-05-14,Green Peas,45,52 - 57,54 - 74,1kg
2024-05-14,Ivy Gourd,28,32 - 36,34 - 46,1kg
2024-05-14,Lemon (Lime),74,85 - 94,89 - 122,1kg
2024-05-14,Mango Raw,24,28 - 30,29 - 40,1kg
2024-05-14,Mint Leaves,5,6 - 6,6 - 8,1kg
2024-05-14,Mushroom,89,102 - 113,107 - 147,1kg
2024-05-14,Mustard Leaves,18,21 - 23,22 - 30,1kg
2024-05-14,Ladies Finger,40,46 - 51,48 - 66,1kg
2024-05-14,Pumpkin,22,25 - 28,26 - 36,1kg
2024-05-14,Radish,24,28 - 30,29 - 40,1kg
2024-05-14,Ridge Gourd,33,38 - 42,40 - 54,1kg
2024-05-14,Shallot (Pearl Onion),35,40 - 44,42 - 58,1kg
2024-05-14,Snake Gourd,28,32 - 36,34 - 46,1kg
2024-05-14,Sorrel Leaves,14,16 - 18,17 - 23,1kg
2024-05-14,Spinach,17,20 - 22,20 - 28,1kg
2024-05-14,Sweet Potato,36,41 - 46,43 - 59,1kg
2024-05-15,Onion Big,24,28 - 30,29 - 40,1kg
2024-05-15,Onion Small,38,44 - 48,46 - 63,1kg
2024-05-15,Tomato,22,25 - 28,26 - 36,1kg
2024-05-15,Green Chilli,70,81 - 89,84 - 116,1kg
2024-05-15,Beetroot,40,46 - 51,48 - 66,1kg
2024-05-15,Potato,38,44 - 48,46 - 63,1kg
2024-05-15,Raw Banana (Plantain),8,9 - 10,10 - 13,1kg
2024-05-15,Amaranth Leaves,12,14 - 15,14 - 20,1kg
2024-05-15,Amla,60,69 - 76,72 - 99,1kg
2024-05-15,Ash gourd,17,20 - 22,20 - 28,1kg
2024-05-15,Baby Corn,65,75 - 83,78 - 107,1kg
2024-05-15,Banana Flower,14,16 - 18,17 - 23,1kg
2024-05-15,Capsicum,45,52 - 57,54 - 74,1kg
2024-05-15,Bitter Gourd,33,38 - 42,40 - 54,1kg
2024-05-15,Bottle Gourd,32,37 - 41,38 - 53,1kg
2024-05-15,Butter Beans,54,62 - 69,65 - 89,1kg
2024-05-15,Broad Beans,72,83 - 91,86 - 119,1kg
2024-05-15,Cabbage,29,33 - 37,35 - 48,1kg
2024-05-15,Carrot,44,51 - 56,53 - 73,1kg
2024-05-15,Cauliflower,28,32 - 36,34 - 46,1kg
2024-05-15,Cluster beans,43,49 - 55,52 - 71,1kg
2024-05-15,Coconut,38,44 - 48,46 - 63,1kg
2024-05-15,Colocasia Leaves,12,14 - 15,14 - 20,1kg
2024-05-15,Colocasia,30,35 - 38,36 - 50,1kg
2024-05-15,Coriander Leaves,9,10 - 11,11 - 15,1kg
2024-05-15,Corn,35,40 - 44,42 - 58,1kg
2024-05-15,Cucumber,25,29 - 32,30 - 41,1kg
2024-05-15,Curry Leaves,30,35 - 38,36 - 50,1kg
2024-05-15,Dill Leaves,15,17 - 19,18 - 25,1kg
2024-05-15,Drumsticks,40,46 - 51,48 - 66,1kg
2024-05-15,Brinjal,38,44 - 48,46 - 63,1kg
2024-05-15,Brinjal (Big),35,40 - 44,42 - 58,1kg
2024-05-15,Elephant Yam,38,44 - 48,46 - 63,1kg
2024-05-15,Fenugreek Leaves,12,14 - 15,14 - 20,1kg
2024-05-15,French Beans,172,198 - 218,206 - 284,1kg
2024-05-15,Garlic,263,302 - 334,316 - 434,1kg
2024-05-15,Ginger,100,115 - 127,120 - 165,1kg
2024-05-15,Onion Green,39,45 - 50,47 - 64,1kg
2024-05-15,Green Peas,46,53 - 58,55 - 76,1kg
2024-05-15,Ivy Gourd,26,30 - 33,31 - 43,1kg
2024-05-15,Lemon (Lime),88,101 - 112,106 - 145,1kg
2024-05-15,Mango Raw,25,29 - 32,30 - 41,1kg
2024-05-15,Mint Leaves,5,6 - 6,6 - 8,1kg
2024-05-15,Mushroom,73,84 - 93,88 - 120,1kg
2024-05-15,Mustard Leaves,15,17 - 19,18 - 25,1kg
2024-05-15,Ladies Finger,42,48 - 53,50 - 69,1kg
2024-05-15,Pumpkin,23,26 - 29,28 - 38,1kg
2024-05-15,Radish,38,44 - 48,46 - 63,1kg
2024-05-15,Ridge Gourd,33,38 - 42,40 - 54,1kg
2024-05-15,Shallot (Pearl Onion),30,35 - 38,36 - 50,1kg
2024-05-15,Snake Gourd,34,39 - 43,41 - 56,1kg
2024-05-15,Sorrel Leaves,17,20 - 22,20 - 28,1kg
2024-05-15,Spinach,14,16 - 18,17 - 23,1kg
2024-05-15,Sweet Potato,37,43 - 47,44 - 61,1kg
2024-05-16,Onion Big,24,28 - 30,29 - 40,1kg
2024-05-16,Onion Small,38,44 - 48,46 - 63,1kg
2024-05-16,Tomato,22,25 - 28,26 - 36,1kg
2024-05-16,Green Chilli,70,81 - 89,84 - 116,1kg
2024-05-16,Beetroot,40,46 - 51,48 - 66,1kg
2024-05-16,Potato,38,44 - 48,46 - 63,1kg
2024-05-16,Raw Banana (Plantain),8,9 - 10,10 - 13,1kg
2024-05-16,Amaranth Leaves,12,14 - 15,14 - 20,1kg
2024-05-16,Amla,60,69 - 76,72 - 99,1kg
2024-05-16,Ash gourd,17,20 - 22,20 - 28,1kg
2024-05-16,Baby Corn,65,75 - 83,78 - 107,1kg
2024-05-16,Banana Flower,14,16 - 18,17 - 23,1kg
2024-05-16,Capsicum,45,52 - 57,54 - 74,1kg
2024-05-16,Bitter Gourd,33,38 - 42,40 - 54,1kg
2024-05-16,Bottle Gourd,32,37 - 41,38 - 53,1kg
2024-05-16,Butter Beans,54,62 - 69,65 - 89,1kg
2024-05-16,Broad Beans,72,83 - 91,86 - 119,1kg
2024-05-16,Cabbage,29,33 - 37,35 - 48,1kg
2024-05-16,Carrot,44,51 - 56,53 - 73,1kg
2024-05-16,Cauliflower,28,32 - 36,34 - 46,1kg
2024-05-16,Cluster beans,43,49 - 55,52 - 71,1kg
2024-05-16,Coconut,38,44 - 48,46 - 63,1kg
2024-05-16,Colocasia Leaves,12,14 - 15,14 - 20,1kg
2024-05-16,Colocasia,30,35 - 38,36 - 50,1kg
2024-05-16,Coriander Leaves,9,10 - 11,11 - 15,1kg
2024-05-16,Corn,35,40 - 44,42 - 58,1kg
2024-05-16,Cucumber,25,29 - 32,30 - 41,1kg
2024-05-16,Curry Leaves,30,35 - 38,36 - 50,1kg
2024-05-16,Dill Leaves,15,17 - 19,18 - 25,1kg
2024-05-16,Drumsticks,40,46 - 51,48 - 66,1kg
2024-05-16,Brinjal,38,44 - 48,46 - 63,1kg
2024-05-16,Brinjal (Big),35,40 - 44,42 - 58,1kg
2024-05-16,Elephant Yam,38,44 - 48,46 - 63,1kg
2024-05-16,Fenugreek Leaves,12,14 - 15,14 - 20,1kg
2024-05-16,French Beans,172,198 - 218,206 - 284,1kg
2024-05-16,Garlic,263,302 - 334,316 - 434,1kg
2024-05-16,Ginger,100,115 - 127,120 - 165,1kg
2024-05-16,Onion Green,39,45 - 50,47 - 64,1kg
2024-05-16,Green Peas,46,53 - 58,55 - 76,1kg
2024-05-16,Ivy Gourd,26,30 - 33,31 - 43,1kg
2024-05-16,Lemon (Lime),88,101 - 112,106 - 145,1kg
2024-05-16,Mango Raw,25,29 - 32,30 - 41,1kg
2024-05-16,Mint Leaves,5,6 - 6,6 - 8,1kg
2024-05-16,Mushroom,73,84 - 93,88 - 120,1kg
2024-05-16,Mustard Leaves,15,17 - 19,18 - 25,1kg
2024-05-16,Ladies Finger,42,48 - 53,50 - 69,1kg
2024-05-16,Pumpkin,23,26 - 29,28 - 38,1kg
2024-05-16,Radish,38,44 - 48,46 - 63,1kg
2024-05-16,Ridge Gourd,33,38 - 42,40 - 54,1kg
2024-05-16,Shallot (Pearl Onion),30,35 - 38,36 - 50,1kg
2024-05-16,Snake Gourd,34,39 - 43,41 - 56,1kg
2024-05-16,Sorrel Leaves,17,20 - 22,20 - 28,1kg
2024-05-16,Spinach,14,16 - 18,17 - 23,1kg
2024-05-16,Sweet Potato,37,43 - 47,44 - 61,1kg
2024-05-17,Onion Big,25,29 - 32,30 - 41,1kg
2024-05-17,Onion Small,37,43 - 47,44 - 61,1kg
2024-05-17,Tomato,23,26 - 29,28 - 38,1kg
